RIL_Start,end,filename,end_diff
NC_029256.1_25281770,25281773,../../data/csv_mPing/A123-0_mPing.csv,790
NC_029256.1_29935735,29935738,../../data/csv_mPing/A123-0_mPing.csv,4374
NC_029256.1_38092618,38092621,../../data/csv_mPing/A123-0_mPing.csv,581
NC_029256.1_39904179,39904182,../../data/csv_mPing/A123-0_mPing.csv,4620
NC_029257.1_2834012,2834015,../../data/csv_mPing/A123-0_mPing.csv,2906
NC_029257.1_31672501,31672504,../../data/csv_mPing/A123-0_mPing.csv,2105
NC_029257.1_32572074,32572077,../../data/csv_mPing/A123-0_mPing.csv,445
NC_029259.1_22883629,22883632,../../data/csv_mPing/A123-0_mPing.csv,3132
NC_029259.1_29593844,29593847,../../data/csv_mPing/A123-0_mPing.csv,141
NC_029261.1_2037771,2037774,../../data/csv_mPing/A123-0_mPing.csv,2437
NC_029262.1_8545936,8545939,../../data/csv_mPing/A123-0_mPing.csv,4082
NC_029264.1_19950662,19950665,../../data/csv_mPing/A123-0_mPing.csv,274
NC_029265.1_21853601,21853604,../../data/csv_mPing/A123-0_mPing.csv,3694
NC_029266.1_3763337,3763340,../../data/csv_mPing/A123-0_mPing.csv,80
NC_029256.1_29496304,29496307,../../data/csv_mPing/EG4-1_mPing.csv,1733
NC_029256.1_39147393,39147396,../../data/csv_mPing/EG4-1_mPing.csv,1046
NC_029256.1_39152986,39152989,../../data/csv_mPing/EG4-1_mPing.csv,5593
NC_029257.1_223439,223442,../../data/csv_mPing/EG4-1_mPing.csv,5525
NC_029257.1_5857977,5857980,../../data/csv_mPing/EG4-1_mPing.csv,2778
NC_029258.1_6441698,6441701,../../data/csv_mPing/EG4-1_mPing.csv,2045
NC_029258.1_12046810,12046813,../../data/csv_mPing/EG4-1_mPing.csv,247
NC_029259.1_24089809,24089812,../../data/csv_mPing/EG4-1_mPing.csv,209
NC_029260.1_15213005,15213008,../../data/csv_mPing/EG4-1_mPing.csv,2693
NC_029261.1_8318684,8318687,../../data/csv_mPing/EG4-1_mPing.csv,2111
NC_029261.1_24594638,24594641,../../data/csv_mPing/EG4-1_mPing.csv,152
NC_029261.1_30296350,30296353,../../data/csv_mPing/EG4-1_mPing.csv,2452
NC_029262.1_22533203,22533206,../../data/csv_mPing/EG4-1_mPing.csv,3800
NC_029263.1_273040,273043,../../data/csv_mPing/EG4-1_mPing.csv,1202
NC_029264.1_13737777,13737780,../../data/csv_mPing/EG4-1_mPing.csv,1637
NC_029266.1_714789,714792,../../data/csv_mPing/EG4-1_mPing.csv,619
NC_029267.1_24247326,24247329,../../data/csv_mPing/EG4-1_mPing.csv,2758
NC_029260.1_20163985,20163988,../../data/csv_mPing/RIL2_1_mPing.csv,4454
NC_029257.1_15728852,15728855,../../data/csv_mPing/RIL2_2_mPing.csv,1291
NC_029261.1_21360125,21360128,../../data/csv_mPing/RIL2_3_mPing.csv,219
NC_029258.1_4256943,4256946,../../data/csv_mPing/RIL2_4_mPing.csv,57
NC_029260.1_14878711,14878714,../../data/csv_mPing/RIL2_4_mPing.csv,365
NC_029265.1_18272235,18272238,../../data/csv_mPing/RIL2_4_mPing.csv,4674
NW_015379218.1_9998,10001,../../data/csv_mPing/RIL2_5_mPing.csv,3807
NC_029258.1_24919851,24919854,../../data/csv_mPing/RIL2_6_mPing.csv,1889
NC_029264.1_20805716,20805719,../../data/csv_mPing/RIL2_6_mPing.csv,1684
NC_029258.1_13319222,13319225,../../data/csv_mPing/RIL2_7_mPing.csv,151
